Date,Open,High,Low,Close,Adj Close,Volume
2013-09-17,79.360001,79.959999,79.339996,79.739998,57.895599,124700
2013-09-18,79.739998,80.690002,79.599998,80.419998,58.389324,306500
2013-09-19,80.720001,80.720001,79.680000,80.050003,58.120686,218400
2013-09-20,80.150002,80.879997,79.870003,80.449997,58.411125,278700
2013-09-23,80.839996,81.309998,80.699997,81.019997,58.824966,302200
2013-09-24,81.129997,81.510002,81.019997,81.290001,59.021004,202300
2013-09-25,80.400002,80.470001,79.769997,79.800003,58.631599,205200
2013-09-26,79.800003,80.139999,79.589996,79.949997,58.741798,133800
2013-09-27,79.769997,80.279999,79.669998,80.099998,58.852016,110600
2013-09-30,79.779999,80.449997,79.650002,79.739998,58.587521,257700
2013-10-01,79.949997,80.029999,79.529999,80.010002,58.785900,221600
2013-10-02,79.959999,79.959999,79.370003,79.709999,58.565479,107800
2013-10-03,79.709999,79.959999,79.339996,79.430000,58.359737,132500
2013-10-04,79.110001,79.739998,79.059998,79.699997,58.558113,77200
2013-10-07,79.250000,79.839996,78.989998,79.389999,58.330349,142300
2013-10-08,79.620003,79.620003,78.669998,78.750000,57.860123,102600
2013-10-09,78.410004,78.839996,78.150002,78.610001,57.757271,167300
2013-10-10,78.889999,79.720001,78.889999,79.360001,58.308323,194200
2013-10-11,79.419998,80.180000,79.419998,79.919998,58.719776,164900
2013-10-14,79.910004,80.550003,79.779999,80.430000,59.094490,69700
2013-10-15,79.919998,80.220001,79.440002,79.930000,58.727100,152900
2013-10-16,80.160004,80.540001,79.870003,80.519997,59.160599,109900
2013-10-17,80.599998,81.099998,80.370003,81.080002,59.572044,156400
2013-10-18,81.080002,82.080002,81.070000,81.550003,59.917385,163200
2013-10-21,81.750000,83.080002,81.449997,82.889999,60.901917,266600
2013-10-22,83.050003,84.349998,83.050003,83.959999,61.688080,343700
2013-10-23,83.739998,84.029999,83.070000,83.410004,61.283981,243600
2013-10-24,83.349998,83.430000,82.639999,82.750000,60.799057,130700
2013-10-25,82.589996,83.400002,82.339996,83.010002,60.990093,119700
2013-10-28,83.160004,83.370003,82.860001,83.220001,61.144390,175500
2013-10-29,83.500000,84.360001,83.370003,84.040001,61.746853,189600
2013-10-30,83.980003,84.809998,83.599998,84.370003,61.989311,214800
2013-10-31,84.739998,85.800003,84.739998,85.150002,62.562405,278400
2013-11-01,85.430000,86.000000,85.120003,85.500000,62.819569,168400
2013-11-04,85.930000,85.940002,85.000000,85.339996,62.702003,137000
2013-11-05,85.139999,85.139999,84.160004,84.760002,62.275864,204400
2013-11-06,85.199997,85.599998,84.849998,85.389999,62.738766,122000
2013-11-07,85.400002,85.419998,84.650002,84.760002,62.275864,95000
2013-11-08,84.489998,85.389999,84.489998,85.070000,62.503628,108300
2013-11-11,85.220001,85.709999,85.160004,85.550003,62.856293,108500
2013-11-12,85.410004,85.860001,85.120003,85.459999,62.790180,139100
2013-11-13,85.410004,86.279999,85.180000,86.199997,63.333881,156300
2013-11-14,85.870003,86.430000,85.739998,86.410004,63.488178,143300
2013-11-15,86.510002,87.019997,86.360001,87.019997,63.936356,118500
2013-11-18,87.320000,87.510002,86.800003,86.989998,63.914322,136400
2013-11-19,86.959999,87.040001,86.459999,86.900002,63.848186,109500
2013-11-20,87.220001,87.230003,86.870003,87.220001,64.083321,201300
2013-11-21,86.879997,87.260002,86.589996,86.620003,63.642467,91700
2013-11-22,86.550003,87.010002,86.389999,86.839996,63.804111,154600
2013-11-25,86.610001,87.070000,86.540001,86.750000,63.737976,99900
2013-11-26,86.489998,86.980003,86.160004,86.559998,63.598389,298500
2013-11-27,86.059998,86.440002,85.550003,85.660004,62.937119,247900
2013-11-29,85.949997,86.500000,85.860001,86.010002,63.194279,103200
2013-12-02,85.610001,86.239998,85.360001,85.820000,63.054672,207700
2013-12-03,85.360001,85.360001,84.150002,84.750000,62.268532,372600
2013-12-04,84.639999,84.639999,83.849998,84.260002,61.908497,177800
2013-12-05,84.269997,84.809998,83.059998,83.500000,61.350117,213200
2013-12-06,83.610001,85.269997,83.610001,84.930000,62.400784,157800
2013-12-09,85.139999,85.989998,84.949997,85.459999,62.790180,162100
2013-12-10,85.570000,85.570000,84.900002,85.160004,62.569759,123700
2013-12-11,85.230003,85.320000,84.360001,84.779999,62.290550,100300
2013-12-12,84.690002,84.750000,83.750000,84.190002,61.857071,135000
2013-12-13,84.279999,84.339996,83.709999,83.989998,61.710129,106700
2013-12-16,84.110001,84.889999,84.000000,84.290001,61.930542,173500
2013-12-17,84.239998,84.480003,84.010002,84.290001,61.930542,114000
2013-12-18,84.199997,84.889999,83.790001,84.400002,62.011360,166900
2013-12-19,84.220001,84.750000,84.180000,84.699997,62.231773,143700
2013-12-20,84.550003,85.150002,84.519997,84.940002,62.408127,180700
2013-12-23,84.989998,85.510002,84.989998,85.320000,63.360909,238000
2013-12-24,84.419998,85.010002,84.330002,84.930000,63.789013,122300
2013-12-26,85.230003,85.260002,84.620003,84.879997,63.751446,86400
2013-12-27,85.089996,85.089996,84.220001,84.650002,63.578709,136000
2013-12-30,84.650002,85.110001,84.300003,85.070000,63.894176,97900
2013-12-31,85.120003,85.540001,84.959999,85.410004,64.149551,79500
2014-01-02,85.510002,85.589996,84.169998,84.379997,63.375942,103500
2014-01-03,84.169998,84.660004,84.050003,84.110001,63.173134,123400
2014-01-06,83.860001,83.900002,83.180000,83.339996,62.594807,117700
2014-01-07,83.129997,83.529999,82.050003,82.120003,61.678490,173600
2014-01-08,81.889999,81.900002,81.260002,81.470001,61.190292,171800
2014-01-09,81.449997,82.070000,80.739998,81.709999,61.370552,181700
2014-01-10,81.500000,81.500000,80.430000,80.910004,60.769688,199600
2014-01-13,81.169998,81.930000,81.029999,81.739998,61.393085,302900
2014-01-14,81.660004,81.660004,80.570000,80.650002,60.574409,174300
2014-01-15,80.910004,81.150002,80.349998,81.120003,60.927414,152900
2014-01-16,81.040001,81.419998,80.720001,81.230003,61.010036,102100
2014-01-17,81.050003,81.440002,80.830002,81.010002,60.844788,166900
2014-01-21,81.779999,81.910004,81.220001,81.290001,61.055107,215900
2014-01-22,81.500000,81.680000,80.440002,80.730003,60.634506,127800
2014-01-23,80.089996,80.279999,79.790001,80.160004,60.206379,163900
2014-01-24,79.680000,80.120003,79.160004,79.489998,59.703159,175100
2014-01-27,79.739998,79.739998,78.040001,78.139999,58.689186,264100
2014-01-28,77.849998,78.599998,77.720001,78.180000,58.719257,283100
2014-01-29,78.389999,78.550003,77.519997,77.760002,58.403809,184300
2014-01-30,78.120003,78.339996,77.680000,77.750000,58.396297,202400
2014-01-31,76.959999,78.089996,76.570000,77.720001,58.373749,207100
2014-02-03,78.339996,78.349998,76.970001,77.230003,58.005730,205800
2014-02-04,77.269997,77.489998,76.739998,77.139999,57.938137,161800
2014-02-05,77.000000,78.320000,76.550003,78.089996,58.651653,208800
2014-02-06,78.089996,79.459999,77.900002,79.080002,59.395222,172800
2014-02-07,79.940002,80.040001,79.180000,79.199997,59.485336,198300
2014-02-10,79.209999,79.610001,79.099998,79.290001,59.552948,183200
2014-02-11,79.250000,80.400002,79.250000,79.919998,60.026123,160700
2014-02-12,80.379997,81.050003,80.190002,80.360001,60.356598,197700
2014-02-13,80.099998,81.220001,80.099998,81.070000,60.889866,182100
2014-02-14,81.160004,81.809998,80.900002,81.410004,61.145237,103300
2014-02-18,81.839996,82.120003,81.559998,81.750000,61.400600,120600
2014-02-19,81.279999,81.800003,81.040001,81.099998,60.912403,170600
2014-02-20,80.930000,81.389999,80.809998,81.250000,61.025063,111500
2014-02-21,80.959999,81.540001,80.809998,80.980003,60.822273,145900
2014-02-24,81.620003,82.190002,80.370003,81.430000,61.160255,186200
2014-02-25,81.570000,81.809998,81.220001,81.550003,61.250370,124000
2014-02-26,81.690002,81.959999,81.199997,81.430000,61.160255,146500
2014-02-27,81.730003,82.980003,81.730003,82.220001,61.753605,338600
2014-02-28,82.769997,84.559998,82.739998,83.809998,62.947811,335600
2014-03-03,83.019997,84.000000,82.940002,83.709999,62.872719,255100
2014-03-04,84.000000,84.589996,83.639999,84.129997,63.188137,179900
2014-03-05,84.360001,85.120003,83.980003,85.120003,63.931728,133800
2014-03-06,85.480003,85.750000,85.370003,85.629997,64.314774,103100
2014-03-07,85.099998,85.110001,84.459999,84.720001,63.631279,158500
2014-03-10,84.699997,85.449997,84.519997,85.220001,64.006828,128300
2014-03-11,85.250000,86.300003,85.059998,86.239998,64.772926,155800
2014-03-12,85.769997,86.290001,85.519997,86.160004,64.712852,128400
2014-03-13,86.720001,87.029999,85.440002,85.919998,64.532578,224000
2014-03-14,85.500000,85.919998,84.980003,85.360001,64.111984,125600
2014-03-17,85.639999,86.349998,85.639999,86.279999,64.802986,111100
2014-03-18,86.519997,86.639999,85.790001,85.919998,64.532578,190900
2014-03-19,85.900002,86.160004,85.019997,85.330002,64.089455,155900
2014-03-20,85.089996,85.699997,84.889999,85.610001,64.299744,157700
2014-03-21,86.019997,86.230003,85.300003,85.599998,64.292259,271500
2014-03-24,85.739998,86.029999,85.169998,85.720001,64.382378,202900
2014-03-25,86.239998,86.260002,85.750000,86.190002,64.735382,202900
2014-03-26,85.410004,85.500000,84.449997,85.010002,64.583435,289500
2014-03-27,85.230003,85.760002,84.639999,85.680000,65.092453,302500
2014-03-28,85.389999,86.110001,85.389999,85.769997,65.160812,130200
